Company,Slogan/Pitch,About,Website,Capital Seeking in USD,% Equity Stake,Approx. Company Valuation in USD,Business Rating,Investor,Network & Expertise
Parser.run,We extract data from websites.,"Simple, custom web scraping tools for researchers, growth hackers, marketing & sales teams.",https://parser.run/,190000,33,576000,4.5,No Investors,Open
CancerIQ,"Using Genetic Information to Predict, Pre-empt, and Prevent Cancer.","Our team has modeled proven cancer genetics workflows at top academic centers, and translated them into a suite of digital health tools. ancerIQ helps leading health systems maximize the clinical and financial value of using genetics in routine care. Together we can help to detect and prevent the deadliest and earliest onset cancers.",https://www.canceriq.com/,330000,10,3300000,3.8,"Anonymous Partner Investors A, B, & D","Sales/Marketing/Merchandising, Manufacturing/Distribution, & Supply Chain/Logistics"
Invitation codes,The referral community.,Invitation is the place for referral codes. Invitation App is a social network where people post their referral codes and collect rewards on autopilot.,https://invitation.codes/,30000,28,107000,4.7,"Anonymous Partner Investors A, B, C, & D","Sales/Marketing/Merchandising, Manufacturing/Distribution, Technology, & Supply Chain/Logistics"
YCharts,The Financial Terminal of The Web.,"YCharts is a financial software company that was founded in 2009 and is backed by Morningstar. YCharts provides the analytic power of a financial terminal (such as Bloomberg, FactSet, CapIQ), but with the ease of use and accessibility of a modern website.",https://ycharts.com/,200000,15,1333000,3.7,"Anonymous Partner Investors A, B, & C","Sales/Marketing/Merchandising, Manufacturing/Distribution, Technology"
Groupon,Daily Deals. Delivered.,"Groupon features a daily deal on the best stuff to do, see, eat, and buy in 45 countries, and soon beyond. We have about 10,000 employees working across our Chicago headquarters, a growing office in Seattle and Palo Alto, CA. Groupon is a place where customers can discover new experiences every day and local businesses thrive.",https://www.groupon.com/,400000,33,1212000,4.0,Anonymous Investor C,Technology
EVENTup,Largest online marketplace for Event Spaces.,Eventup is a marketplace that allows consumers to find both commercial venues and unique residential properties and book them for their event. We make the venue selection and booking process easier and provide access to experiences that were previously unattainable.,https://eventup.com/,180000,33,545000,4.9,"Anonymous Partner Investors B, C, & D","Manufacturing/Distribution, Technology, & Supply Chain/Logistics"
ParkWhiz,Click here. Park anywhere.,"ParkWhiz simplifies the parking experience by facilitating the advance purchase of parking for any driving occasion. Available on any device -- PC, tablet, or smartphone -- ParkWhiz features parking options and deals at over 1,500 locations nationwide.",https://www.parkwhiz.com/,230000,8,2875000,4.2,No Investors,Open
Food Genius,Feeding the foodservice Industry smarter data and analytics.,"We’re feeding the Foodservice Industry smarter data and analytics. Food Genius is a leading foodservice data provider specializing in gathering, preparing, and serving granular foodservice menu data and analytics. Food Genius supports foodservice manufacturers.",https://getfoodgenius.com/,470000,7,6714000,4.7,"Anonymous Partner Investors A, B, C, & D","Sales/Marketing/Merchandising, Manufacturing/Distribution, Technology, & Supply Chain/Logistics"
OpenAirplane,Making renting an airplane as easy as renting a car.,"We’re making a pilot certificate more useful. OpenAirplane makes it easy for Pilots to find, book, fly, and pay for aircraft rental online or with a mobile device. We’re helping Operators get better utilization of their fleets, and Pilots fly more.",https://www.openairplane.com/,140000,34,412000,3.8,Anonymous Partner Investors B & D,Manufacturing/Distribution & Supply Chain/Logistics
GiveForward,Crowdfunding for medical and life events.,"GiveForward lets anyone to create a free fundraising page for a friend or loved one’s uncovered medical bills, memorial fund, adoptions or any other life events in five minutes or less. Millions of families have used GiveForward to raise more than $165M.",https://www.giveforward.com/,220000,13,1692000,4.1,No Investors,Open
